Q2,GEn_over_GD,dGEn_over_GD,dGEnPar_over_GD,dGEn_total
2.0654e-05,1.026123e-05,1.943378e-07,1.944359e-07,2.749045283687593e-07
2.0893e-05,1.038004e-05,1.965869e-07,1.966888e-07,2.780879236807129e-07
2.1135e-05,1.050023e-05,1.988621e-07,1.989679e-07,2.8130830070728447e-07
2.138e-05,1.062181e-05,2.011635e-07,2.012734e-07,2.845658716006015e-07
2.1627e-05,1.07448e-05,2.034916e-07,2.036056e-07,2.878612020087459e-07
2.1878e-05,1.086921e-05,2.058466e-07,2.059648e-07,2.9119464550468644e-07
2.2131e-05,1.099506e-05,2.082289e-07,2.083513e-07,2.9456669704313145e-07
2.2387e-05,1.112237e-05,2.106387e-07,2.107655e-07,2.979777809299546e-07
2.2646e-05,1.125115e-05,2.130764e-07,2.132077e-07,3.014283921203343e-07
2.2909e-05,1.138143e-05,2.155423e-07,2.156782e-07,3.049189548790465e-07
2.3174e-05,1.151321e-05,2.180367e-07,2.181773e-07,3.084498934708521e-07
2.3442e-05,1.164652e-05,2.2056e-07,2.207053e-07,3.1202170284787886e-07
2.3714e-05,1.178137e-05,2.231125e-07,2.232627e-07,3.156349487422773e-07
2.3988e-05,1.191779e-05,2.256944e-07,2.258497e-07,3.1928991399893925e-07
2.4266e-05,1.205578e-05,2.283063e-07,2.284666e-07,3.22987234941646e-07
2.4547e-05,1.219537e-05,2.309483e-07,2.311139e-07,3.2672733593334363e-07
2.4831e-05,1.233657e-05,2.336209e-07,2.337919e-07,3.305107826114301e-07
2.5119e-05,1.247942e-05,2.363245e-07,2.365009e-07,3.343380699248292e-07
2.541e-05,1.262391e-05,2.390593e-07,2.392412e-07,3.382095514528382e-07
2.5704e-05,1.277008e-05,2.418257e-07,2.420134e-07,3.4212593435758414e-07
2.6002e-05,1.291794e-05,2.446241e-07,2.448176e-07,3.4608757211227626e-07
2.6303e-05,1.306751e-05,2.474549e-07,2.476544e-07,3.5009517187954763e-07
2.6607e-05,1.321882e-05,2.503184e-07,2.50524e-07,3.541490871858348e-07
2.6915e-05,1.337187e-05,2.53215e-07,2.534268e-07,3.582498837169944e-07
2.7227e-05,1.35267e-05,2.561452e-07,2.563633e-07,3.6239826858020447e-07
2.7542e-05,1.368332e-05,2.591092e-07,2.593339e-07,3.6659466610119957e-07
2.7861e-05,1.384176e-05,2.621075e-07,2.623388e-07,3.708395711647963e-07
2.8184e-05,1.400202e-05,2.651405e-07,2.653786e-07,3.751336909399235e-07
2.851e-05,1.416415e-05,2.682085e-07,2.684536e-07,3.7947744969261346e-07
2.884e-05,1.432815e-05,2.71312e-07,2.715642e-07,3.8387148378805117e-07
2.9174e-05,1.449405e-05,2.744515e-07,2.747109e-07,3.883165003332462e-07
2.9512e-05,1.466187e-05,2.776272e-07,2.77894e-07,3.9281285291578736e-07
2.9854e-05,1.483163e-05,2.808396e-07,2.81114e-07,3.9736124864430353e-07
3.02e-05,1.500336e-05,2.840892e-07,2.843713e-07,4.019623238816419e-07
3.0549e-05,1.517708e-05,2.873764e-07,2.876664e-07,4.0661671505967386e-07
3.0903e-05,1.535281e-05,2.907016e-07,2.909996e-07,4.113249171187177e-07
3.1261e-05,1.553057e-05,2.940652e-07,2.943715e-07,4.160876372391879e-07
3.1623e-05,1.571039e-05,2.974678e-07,2.977824e-07,4.2090551170850685e-07
3.1989e-05,1.589229e-05,3.009097e-07,3.012329e-07,4.257791770348803e-07
3.2359e-05,1.60763e-05,3.043913e-07,3.047233e-07,4.3070912815794833e-07
3.2734e-05,1.626244e-05,3.079133e-07,3.082542e-07,4.3569628427900327e-07
3.3113e-05,1.645073e-05,3.114759e-07,3.11826e-07,4.407410697414186e-07
3.3497e-05,1.664121e-05,3.150798e-07,3.154391e-07,4.4584426224506916e-07
3.3884e-05,1.683389e-05,3.187253e-07,3.190942e-07,4.510065690582899e-07
3.4277e-05,1.70288e-05,3.22413e-07,3.227916e-07,4.5622862645778816e-07
3.4674e-05,1.722596e-05,3.261433e-07,3.265318e-07,4.6151107088143617e-07
3.5075e-05,1.742541e-05,3.299167e-07,3.303154e-07,4.6685468019079556e-07
3.5481e-05,1.762717e-05,3.337338e-07,3.341428e-07,4.722601614092385e-07
3.5892e-05,1.783126e-05,3.37595e-07,3.380146e-07,4.777282217308917e-07
